,CustomerID,Recency,Frequency,Monetary,R-Score,F-Score,M-Score,RFMScore,LoyaltyLevel,Cluster_ID
252,13168,35,131,1319,2,1,1,4,Platinum,1
253,13169,63,13,713,3,4,2,9,Silver,0
254,13170,26,32,116,2,3,4,9,Silver,0
255,13171,21,46,468,1,2,3,6,Gold,1
256,13173,3,43,354,1,2,3,6,Gold,1
258,13176,45,72,493,2,1,3,6,Gold,1
259,13177,64,17,282,3,3,3,9,Silver,0
261,13182,44,11,121,2,4,4,10,Bronze,0
263,13184,14,181,1701,1,1,1,3,Platinum,1
264,13185,267,1,71,4,4,4,12,Bronze,0
265,13186,39,79,1576,2,1,1,4,Platinum,1
267,13188,10,2,115,1,4,4,9,Silver,0
268,13189,18,29,261,1,3,4,8,Silver,0
269,13192,94,63,912,3,2,2,7,Gold,1
270,13193,60,29,118,3,3,4,10,Bronze,0
271,13194,135,3,61,3,4,4,11,Bronze,0
272,13196,10,110,1798,1,1,1,3,Platinum,1
275,13200,18,46,870,1,2,2,5,Platinum,1
276,13203,9,57,869,1,2,2,5,Platinum,1
277,13207,14,8,250,1,4,4,9,Silver,0
278,13208,58,149,1224,2,1,1,4,Platinum,1
280,13210,93,22,353,3,3,3,9,Silver,0
281,13211,9,56,1197,1,2,1,4,Platinum,1
282,13212,19,142,788,1,1,2,4,Platinum,1
283,13213,56,90,1521,2,1,1,4,Platinum,1
284,13216,267,5,334,4,4,3,11,Bronze,0
285,13217,121,4,534,3,4,2,9,Silver,0
286,13218,126,5,63,3,4,4,11,Bronze,0
287,13220,77,21,819,3,3,2,8,Silver,0
288,13221,239,66,847,4,2,2,8,Silver,1
289,13223,199,5,163,4,4,4,12,Bronze,0
290,13224,59,108,2156,3,1,1,5,Platinum,1
292,13226,272,16,108,4,3,4,11,Bronze,0
293,13227,201,9,258,4,4,4,12,Bronze,0
294,13228,80,2,358,3,4,3,10,Bronze,0
295,13229,225,10,161,4,4,4,12,Bronze,0
297,13232,12,207,1358,1,1,1,3,Platinum,1
298,13233,73,43,605,3,2,2,7,Gold,1
299,13235,211,58,1031,4,2,2,8,Silver,1
300,13236,23,36,745,2,2,2,6,Gold,1
301,13238,16,31,701,1,3,2,6,Gold,1
302,13239,261,21,330,4,3,3,10,Bronze,0
303,13240,95,67,664,3,2,2,7,Gold,1
304,13242,111,13,270,3,4,3,10,Bronze,0
305,13243,202,58,600,4,2,2,8,Silver,0
306,13244,92,27,122,3,3,4,10,Bronze,0
307,13245,50,16,430,2,3,3,8,Silver,0
308,13246,17,141,1987,1,1,1,3,Platinum,1
309,13247,17,25,501,1,3,3,7,Gold,1
310,13248,124,26,466,3,3,3,9,Silver,0
311,13249,91,23,711,3,3,2,8,Silver,0
312,13253,156,36,1030,4,2,2,8,Silver,1
313,13255,8,13,400,1,4,3,8,Silver,0
314,13258,11,38,699,1,2,2,5,Platinum,1
315,13259,61,87,292,3,1,3,7,Gold,1
316,13260,60,8,558,3,4,2,9,Silver,0
317,13261,268,9,944,4,4,2,10,Bronze,0
318,13262,262,11,200,4,4,4,12,Bronze,0
320,13265,52,91,2108,2,1,1,4,Platinum,1
326,13271,36,96,217,2,1,4,7,Gold,1
327,13272,30,15,277,2,4,3,9,Silver,0
328,13273,112,16,139,3,3,4,10,Bronze,0
329,13276,63,30,591,3,3,2,8,Silver,0
330,13277,15,8,258,1,4,4,9,Silver,0
331,13278,40,46,543,2,2,2,6,Gold,1
332,13279,77,9,138,3,4,4,11,Bronze,0
333,13280,121,85,815,3,1,2,6,Gold,1
334,13282,17,37,1132,1,2,1,4,Platinum,1
335,13283,59,7,94,3,4,4,11,Bronze,0
337,13285,22,187,2709,1,1,1,3,Platinum,1
338,13291,155,42,361,4,2,3,9,Silver,0
339,13292,38,31,579,2,3,2,7,Gold,1
340,13294,189,54,874,4,2,2,8,Silver,1
342,13296,136,5,87,3,4,4,11,Bronze,0
343,13297,7,59,2090,1,2,1,4,Platinum,1
344,13298,0,2,360,1,4,3,8,Silver,0
345,13299,267,5,142,4,4,4,12,Bronze,0
346,13300,168,20,372,4,3,3,10,Bronze,0
347,13301,103,81,618,3,1,2,6,Gold,1
348,13302,154,1,64,4,4,4,12,Bronze,0
350,13305,3,81,2001,1,1,1,3,Platinum,1
351,13307,119,1,15,3,4,4,11,Bronze,0
352,13308,22,54,1386,1,2,1,4,Platinum,1
353,13309,6,107,1457,1,1,1,3,Platinum,1
354,13310,27,72,1132,2,1,1,4,Platinum,1
355,13311,3,26,599,1,3,2,6,Gold,1
356,13313,21,78,1555,1,1,1,3,Platinum,1
357,13314,1,62,776,1,2,2,5,Platinum,1
359,13317,65,124,2274,3,1,1,5,Platinum,1
360,13318,0,20,641,1,3,2,6,Gold,1
362,13320,77,106,1549,3,1,1,5,Platinum,1
363,13321,71,11,567,3,4,2,9,Silver,0
364,13322,16,25,199,1,3,4,8,Silver,0
365,13323,2,21,788,1,3,2,6,Gold,1
367,13325,81,12,675,3,4,2,9,Silver,0
369,13328,315,17,1308,4,3,1,8,Silver,0
370,13329,31,17,789,2,3,2,7,Gold,1
371,13330,92,53,1141,3,2,1,6,Gold,1
372,13332,13,21,351,1,3,3,7,Gold,0
374,13336,76,51,795,3,2,2,7,Gold,1
375,13338,157,19,487,4,3,3,10,Bronze,0
376,13339,200,54,860,4,2,2,8,Silver,1
378,13341,260,42,776,4,2,2,8,Silver,0
379,13343,177,19,353,4,3,3,10,Bronze,0
380,13344,67,119,2544,3,1,1,5,Platinum,1
381,13345,287,20,390,4,3,3,10,Bronze,0
382,13347,69,8,341,3,4,3,10,Bronze,0
383,13348,63,14,234,3,4,4,11,Bronze,0
384,13349,10,16,247,1,3,4,8,Silver,0
385,13350,15,40,979,1,2,2,5,Platinum,1
386,13351,65,16,374,3,3,3,9,Silver,0
387,13352,59,24,398,3,3,3,9,Silver,0
388,13354,70,51,744,3,2,2,7,Gold,1
389,13355,121,32,675,3,3,2,8,Silver,0
390,13356,79,42,768,3,2,2,7,Gold,1
391,13357,256,90,610,4,1,2,7,Gold,1
392,13358,268,29,439,4,3,3,10,Bronze,0
393,13359,63,23,440,3,3,3,9,Silver,0
395,13363,17,60,992,1,2,2,5,Platinum,1
396,13364,70,10,135,3,4,4,11,Bronze,0
397,13365,33,128,2225,2,1,1,4,Platinum,1
398,13366,49,1,56,2,4,4,10,Bronze,0
399,13368,256,29,623,4,3,2,9,Silver,0
402,13372,89,23,379,3,3,3,9,Silver,0
404,13375,88,37,779,3,2,2,7,Gold,1
405,13376,98,53,1020,3,2,2,7,Gold,1
406,13379,25,97,573,2,1,2,5,Platinum,1
408,13382,280,15,223,4,4,4,12,Bronze,0
410,13385,329,35,535,4,2,2,8,Silver,0
411,13388,130,35,677,3,2,2,7,Gold,0
412,13389,10,51,798,1,2,2,5,Platinum,1
413,13390,74,13,544,3,4,2,9,Silver,0
414,13391,203,1,60,4,4,4,12,Bronze,0
415,13394,1,155,2520,1,1,1,3,Platinum,1
416,13395,184,21,308,4,3,3,10,Bronze,0
417,13396,28,43,1361,2,2,1,5,Platinum,1
418,13397,72,38,1544,3,2,1,6,Gold,1
419,13398,191,26,457,4,3,3,10,Bronze,0
420,13402,126,39,621,3,2,2,7,Gold,0
421,13403,17,3,75,1,4,4,9,Silver,0
422,13404,0,11,252,1,4,4,9,Silver,0
423,13405,73,27,572,3,3,2,8,Silver,0
425,13410,23,28,1003,2,3,2,7,Gold,1
426,13411,106,18,214,3,3,4,10,Bronze,0
427,13414,133,24,1390,3,3,1,7,Gold,1
428,13416,43,19,712,2,3,2,7,Gold,0
429,13417,4,28,641,1,3,2,6,Gold,1
431,13419,63,16,221,3,3,4,10,Bronze,0
432,13420,149,8,160,3,4,4,11,Bronze,0
433,13421,39,104,1851,2,1,1,4,Platinum,1
434,13422,63,127,2626,3,1,1,5,Platinum,1
435,13425,107,78,1624,3,1,1,5,Platinum,1
437,13427,18,29,583,1,3,2,6,Gold,1
438,13428,9,74,218,1,1,4,6,Gold,1
439,13429,10,67,1007,1,2,2,5,Platinum,1
440,13430,18,49,679,1,2,2,5,Platinum,1
441,13431,66,46,1269,3,2,1,6,Gold,1
442,13434,73,10,534,3,4,2,9,Silver,0
444,13436,1,12,197,1,4,4,9,Silver,0
446,13439,254,54,284,4,2,3,9,Silver,0
447,13441,91,13,297,3,4,3,10,Bronze,0
448,13447,22,59,1129,1,2,1,4,Platinum,1
450,13449,23,19,292,2,3,3,8,Silver,0
451,13450,26,71,2044,2,1,1,4,Platinum,1
453,13452,258,2,590,4,4,2,10,Bronze,0
454,13453,165,17,357,4,3,3,10,Bronze,0
455,13455,24,46,1058,2,2,1,5,Platinum,1
456,13456,17,63,1767,1,2,1,4,Platinum,1
458,13460,28,17,183,2,3,4,9,Silver,0
459,13461,38,27,1445,2,3,1,6,Gold,1
460,13462,252,9,152,4,4,4,12,Bronze,0
461,13464,57,41,675,2,2,2,6,Gold,1
462,13466,183,17,308,4,3,3,10,Bronze,0
463,13467,10,99,1084,1,1,1,3,Platinum,1
465,13470,98,10,165,3,4,4,11,Bronze,0
467,13473,60,21,423,3,3,3,9,Silver,0
468,13474,235,64,230,4,2,4,10,Bronze,0
469,13475,190,86,1432,4,1,1,6,Gold,1
470,13476,178,58,1238,4,2,1,7,Gold,1
471,13477,37,79,1455,2,1,1,4,Platinum,1
472,13479,200,15,301,4,4,3,11,Bronze,0
473,13481,45,109,1805,2,1,1,4,Platinum,1
474,13482,231,11,185,4,4,4,12,Bronze,0
475,13483,65,10,140,3,4,4,11,Bronze,0
476,13484,240,8,314,4,4,3,11,Bronze,0
477,13485,232,23,454,4,3,3,10,Bronze,0
478,13486,77,69,1122,3,2,1,6,Gold,1
479,13487,57,34,575,2,2,2,6,Gold,1
481,13489,104,14,450,3,4,3,10,Bronze,0
482,13491,51,86,1216,2,1,1,4,Platinum,1
483,13494,311,18,316,4,3,3,10,Bronze,0
484,13495,7,48,2045,1,2,1,4,Platinum,1
485,13496,10,35,653,1,2,2,5,Platinum,1
486,13497,282,19,348,4,3,3,10,Bronze,0
487,13499,17,42,1159,1,2,1,4,Platinum,1
488,13500,22,65,1167,1,2,1,4,Platinum,1
489,13502,16,18,292,1,3,3,7,Gold,0
490,13503,70,17,217,3,3,4,10,Bronze,0
491,13504,63,22,296,3,3,3,9,Silver,0
492,13506,315,26,459,4,3,3,10,Bronze,0
493,13507,2,162,2479,1,1,1,3,Platinum,1
494,13508,243,12,111,4,4,4,12,Bronze,0
495,13509,8,44,980,1,2,2,5,Platinum,1
496,13510,0,115,1792,1,1,1,3,Platinum,1
497,13512,260,15,251,4,4,4,12,Bronze,0
498,13513,126,10,205,3,4,4,11,Bronze,0
499,13514,73,4,152,3,4,4,11,Bronze,0
500,13515,72,59,891,3,2,2,7,Gold,1
501,13516,20,44,1389,1,2,1,4,Platinum,1
502,13517,59,141,2128,3,1,1,5,Platinum,1
503,13518,85,38,659,3,2,2,7,Gold,1
504,13519,77,8,123,3,4,4,11,Bronze,0
506,13522,29,5,126,2,4,4,10,Bronze,0
508,13524,40,27,680,2,3,2,7,Gold,1
509,13525,14,6,629,1,4,2,7,Gold,0
510,13527,33,223,2288,2,1,1,4,Platinum,1
511,13529,78,15,308,3,4,3,10,Bronze,0
512,13531,204,22,484,4,3,3,10,Bronze,0
513,13532,33,66,210,2,2,4,8,Silver,1
514,13533,182,76,271,4,1,3,8,Silver,0
517,13538,42,25,1281,2,3,1,6,Gold,1
518,13539,85,37,631,3,2,2,7,Gold,1
519,13544,39,87,291,2,1,3,6,Gold,1
520,13546,11,98,627,1,1,2,4,Platinum,1
521,13548,95,124,682,3,1,2,6,Gold,1
522,13549,25,51,918,2,2,2,6,Gold,1
523,13551,318,4,92,4,4,4,12,Bronze,0
526,13557,27,34,584,2,2,2,6,Gold,1
527,13558,5,175,605,1,1,2,4,Platinum,1
528,13560,6,33,174,1,3,4,8,Silver,0
529,13561,215,14,142,4,4,4,12,Bronze,0
530,13562,81,82,1799,3,1,1,5,Platinum,1
531,13563,83,49,778,3,2,2,7,Gold,1
532,13564,143,83,1749,3,1,1,5,Platinum,1
533,13565,18,38,240,1,2,4,7,Gold,0
534,13566,40,176,875,2,1,2,5,Platinum,1
535,13568,172,44,193,4,2,4,10,Bronze,0
536,13569,16,85,374,1,1,3,5,Platinum,1
537,13570,242,27,239,4,3,4,11,Bronze,0
539,13572,205,33,1384,4,3,1,8,Silver,1
540,13573,49,26,294,2,3,3,8,Silver,0
541,13575,22,46,732,1,2,2,5,Platinum,1
543,13577,24,83,1688,2,1,1,4,Platinum,1
544,13579,14,23,467,1,3,3,7,Gold,1
545,13581,308,10,118,4,4,4,12,Bronze,0
546,13583,155,53,781,4,2,2,8,Silver,1
547,13584,306,24,142,4,3,4,11,Bronze,0
548,13587,63,8,712,3,4,2,9,Silver,0
549,13588,15,174,2479,1,1,1,3,Platinum,1
550,13589,14,21,380,1,3,3,7,Gold,0
551,13590,10,87,1982,1,1,1,3,Platinum,1
552,13591,64,58,1117,3,2,1,6,Gold,1
553,13592,35,16,248,2,3,4,9,Silver,0
554,13593,107,128,2037,3,1,1,5,Platinum,1
555,13594,52,26,397,2,3,3,8,Silver,0
556,13596,5,166,697,1,1,2,4,Platinum,1
557,13598,46,40,180,2,2,4,8,Silver,0
559,13600,311,19,220,4,3,4,11,Bronze,0
560,13601,44,99,693,2,1,2,5,Platinum,1
561,13602,64,23,429,3,3,3,9,Silver,0
562,13603,25,27,164,2,3,4,9,Silver,0
563,13606,28,43,281,2,2,3,7,Gold,0
564,13607,39,98,678,2,1,2,5,Platinum,1
565,13610,11,226,1132,1,1,1,3,Platinum,1
566,13611,88,74,1172,3,1,1,5,Platinum,1
567,13614,23,201,1610,2,1,1,4,Platinum,1
568,13615,318,23,418,4,3,3,10,Bronze,0
569,13617,39,44,544,2,2,2,6,Gold,1
570,13618,173,13,177,4,4,4,12,Bronze,0
571,13621,116,19,214,3,3,4,10,Bronze,0
572,13623,30,81,748,2,1,2,5,Platinum,1
573,13626,252,19,257,4,3,4,11,Bronze,0
574,13627,58,92,1638,2,1,1,4,Platinum,1
576,13630,4,71,2032,1,1,1,3,Platinum,1
578,13632,24,146,2121,2,1,1,4,Platinum,1
579,13634,32,188,1575,2,1,1,4,Platinum,1
580,13635,67,62,1071,3,2,1,6,Gold,1
581,13636,36,63,949,2,2,2,6,Gold,1
582,13637,51,101,810,2,1,2,5,Platinum,1
583,13638,15,8,123,1,4,4,9,Silver,0
584,13639,73,40,1033,3,2,2,7,Gold,1
585,13642,215,66,355,4,2,3,9,Silver,0
586,13643,30,28,519,2,3,3,8,Silver,1
587,13644,15,146,2624,1,1,1,3,Platinum,1
588,13645,119,5,252,3,4,4,11,Bronze,0
589,13647,9,79,1678,1,1,1,3,Platinum,1
590,13649,256,23,347,4,3,3,10,Bronze,0
591,13650,16,96,1836,1,1,1,3,Platinum,1
592,13651,34,6,94,2,4,4,10,Bronze,0
593,13652,45,63,1095,2,2,1,5,Platinum,1
594,13654,42,166,2707,2,1,1,4,Platinum,1
595,13655,113,56,933,3,2,2,7,Gold,1
596,13656,164,49,380,4,2,3,9,Silver,0
597,13657,10,16,382,1,3,3,7,Gold,0
598,13658,9,108,2639,1,1,1,3,Platinum,1
599,13659,205,104,1573,4,1,1,6,Gold,1
600,13662,85,53,898,3,2,2,7,Gold,1
601,13663,178,13,189,4,4,4,12,Bronze,0
602,13666,59,12,85,3,4,4,11,Bronze,0
603,13667,148,87,305,3,1,3,7,Gold,0
605,13669,50,9,219,2,4,4,10,Bronze,0
606,13670,74,25,350,3,3,3,9,Silver,0
607,13672,300,6,186,4,4,4,12,Bronze,0
608,13673,18,65,397,1,2,3,6,Gold,1
609,13675,150,25,487,4,3,3,10,Bronze,0
610,13678,151,16,233,4,3,4,11,Bronze,0
612,13681,17,57,828,1,2,2,5,Platinum,1
613,13682,186,3,60,4,4,4,12,Bronze,0
614,13684,285,30,67,4,3,4,11,Bronze,0
616,13686,182,8,72,4,4,4,12,Bronze,0
617,13689,62,6,910,3,4,2,9,Silver,0
618,13690,58,9,172,2,4,4,10,Bronze,0
619,13692,24,53,1488,2,2,1,5,Platinum,1
621,13695,30,90,2504,2,1,1,4,Platinum,1
622,13697,38,12,151,2,4,4,10,Bronze,0
623,13699,154,14,309,4,4,3,11,Bronze,0
624,13700,25,197,2265,2,1,1,4,Platinum,1
625,13703,317,1,100,4,4,4,12,Bronze,0
626,13704,4,134,2308,1,1,1,3,Platinum,1
627,13705,7,28,712,1,3,2,6,Gold,1
628,13706,302,20,331,4,3,3,10,Bronze,0
629,13707,266,48,806,4,2,2,8,Silver,0
630,13708,270,51,297,4,2,3,9,Silver,0
632,13710,31,8,180,2,4,4,10,Bronze,0
633,13711,218,13,252,4,4,4,12,Bronze,0
634,13712,246,10,229,4,4,4,12,Bronze,0
635,13715,280,105,1079,4,1,1,6,Gold,1
636,13716,268,21,138,4,3,4,11,Bronze,0
637,13717,31,102,1445,2,1,1,4,Platinum,1
638,13718,245,12,307,4,4,3,11,Bronze,0
639,13719,14,60,1042,1,2,2,5,Platinum,1
640,13720,116,43,800,3,2,2,7,Gold,1
641,13721,35,28,524,2,3,3,8,Silver,1
642,13722,131,85,2375,3,1,1,5,Platinum,1
643,13723,216,6,200,4,4,4,12,Bronze,0
644,13725,49,104,1981,2,1,1,4,Platinum,1
645,13726,38,42,1080,2,2,1,5,Platinum,1
646,13727,28,20,333,2,3,3,8,Silver,0
647,13728,36,63,1016,2,2,2,6,Gold,1
